time,json_config,trained,params,c_v,score
2025-04-21T15:33:32,smooth_trial01_0036.json,yes,"{""stage1"": {""gr"": 90, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.0, ""buffer_size"": 20}, ""stage2"": {""gr"": 320, ""H_min"": 0.2, ""alpha_vp"": 1.6, ""beta"": 2.0, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 2.0, ""beta"": 0.8, ""buffer_size"": 40}}",0.1,0.5236422782763839
2025-04-21T16:05:38,smooth_trial01_0037.json,yes,"{""stage1"": {""gr"": 110, ""H_min"": 0.4, ""alpha_vp"": 0.8, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 360, ""H_min"": 0.2, ""alpha_vp"": 2.0, ""beta"": 2.0, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.3, ""alpha_vp"": 1.6, ""beta"": 1.6, ""buffer_size"": 30}}",0.1,0.5164436236023903
2025-04-21T16:37:30,smooth_trial01_0038.json,yes,"{""stage1"": {""gr"": 90, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.4, ""buffer_size"": 0}, ""stage2"": {""gr"": 400, ""H_min"": 0.4, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.4, ""buffer_size"": 20}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 2.0, ""beta"": 0.0, ""buffer_size"": 40}}",0.1,0.5190920004621148
2025-04-21T17:09:01,smooth_trial01_0039.json,yes,"{""stage1"": {""gr"": 130, ""H_min"": 0.8, ""alpha_vp"": 0.8, ""beta"": 0.0, ""buffer_size"": 20}, ""stage2"": {""gr"": 340, ""H_min"": 0.2, ""alpha_vp"": 0.8, ""beta"": 1.6, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 1.6, ""beta"": 0.4, ""buffer_size"": 0}}",0.1,0.5134350147098303
2025-04-21T17:38:34,smooth_trial01_0040.json,yes,"{""stage1"": {""gr"": 150, ""H_min"": 1.0, ""alpha_vp"": 1.0, ""beta"": 0.2, ""buffer_size"": 30}, ""stage2"": {""gr"": 320, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.6, ""beta"": 2.0, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.8999999999999999, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.0, ""buffer_size"": 30}}",0.1,0.5247570857405662
2025-04-21T18:11:42,smooth_trial01_0041.json,yes,"{""stage1"": {""gr"": 110, ""H_min"": 0.4, ""alpha_vp"": 0.8, ""beta"": 0.2, ""buffer_size"": 10}, ""stage2"": {""gr"": 400, ""H_min"": 0.0, ""alpha_vp"": 1.2000000000000002, ""beta"": 1.2000000000000002, ""buffer_size"": 30}, ""stage3"": {""gr"": 500, ""H_min"": 1.2, ""alpha_vp"": 1.2000000000000002, ""beta"": 0.8, ""buffer_size"": 10}}",0.1,0.5051295389421284
2025-04-21T19:21:18,smooth_trial01_0042.json,yes,"{""stage1"": {""gr"": 90, ""H_min"": 0.6000000000000001, ""alpha_vp"": 1.0, ""beta"": 0.6000000000000001, ""buffer_size"": 0}, ""stage2"": {""gr"": 140, ""H_min"": 0.4, ""alpha_vp"": 0.8, ""beta"": 1.6, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.6, ""alpha_vp"": 0.0, ""beta"": 0.0, ""buffer_size"": 40}}",0.1,0.5279328797012568
2025-04-21T19:54:11,smooth_trial01_0043.json,yes,"{""stage1"": {""gr"": 70, ""H_min"": 0.0, ""alpha_vp"": 0.6000000000000001, ""beta"": 0.6000000000000001, ""buffer_size"": 0}, ""stage2"": {""gr"": 180, ""H_min"": 0.6000000000000001, ""alpha_vp"": 0.4, ""beta"": 1.2000000000000002, ""buffer_size"": 40}, ""stage3"": {""gr"": 500, ""H_min"": 0.0, ""alpha_vp"": 0.0, ""beta"": 0.0, ""buffer_size"": 30}}",0.1,0.5205643236637115
2025-04-21T22:02:12,smooth_trial01_0044.json,yes,"{""stage1"": {""gr"": 100, ""H_min"": 0.7000000000000001, ""alpha_vp"": 1.1, ""beta"": 0.08, ""buffer_size"": 16}, ""stage2"": {""gr"": 150, ""H_min"": 0.54, ""alpha_vp"": 1.7, ""beta"": 1.92, ""buffer_size"": 36}, ""stage3"": {""gr"": 500, ""H_min"": 0.64, ""alpha_vp"": 1.7, ""beta"": 0.1, ""buffer_size"": 26}}",0.1,0.5105563115328551
2025-04-21T22:32:50,smooth_trial01_0045.json,yes,"{""stage1"": {""gr"": 100, ""H_min"": 0.65, ""alpha_vp"": 1.05, ""beta"": 0.12, ""buffer_size"": 16}, ""stage2"": {""gr"": 180, ""H_min"": 0.54, ""alpha_vp"": 1.85, ""beta"": 1.96, ""buffer_size"": 36}, ""stage3"": {""gr"": 500, ""H_min"": 0.64, ""alpha_vp"": 1.75, ""beta"": 0.1, ""buffer_size"": 16}}",0.1,0.5184901619330049
2025-04-21T23:03:34,smooth_trial01_0046.json,yes,"{""stage1"": {""gr"": 115, ""H_min"": 0.55, ""alpha_vp"": 0.9500000000000001, ""beta"": 0.24, ""buffer_size"": 24}, ""stage2"": {""gr"": 225, ""H_min"": 0.54, ""alpha_vp"": 1.5, ""beta"": 1.8800000000000001, ""buffer_size"": 36}, ""stage3"": {""gr"": 500, ""H_min"": 0.64, ""alpha_vp"": 1.5, ""beta"": 0.05, ""buffer_size"": 26}}",0.1,0.5181783633306623
